FI TOT RoR,ee,se,DE_RoR,SP RoR,PL RoR,,
23.627625,0,0,8.275667238,28.84903382,0.791899621,,
23.49045,0,0,8.265015864,33.29286811,0.795717603,,
23.33205,0,0,8.256314742,37.52388623,0.798910442,,
23.186325,0,0,8.279192692,40.24837665,0.802808139,,
23.053425,0,0,8.311071804,41.79477486,0.807280631,,
22.9167,0,0,8.351952076,42.54040003,0.813607571,,
22.760325,0,0,8.384656293,42.82698749,0.822174953,,
22.59465,0,0,8.405583992,43.97527697,0.830826246,,
22.38945,0,0,8.416910453,48.47700637,0.839112524,,
22.2777,0,0,8.424861478,52.97079229,0.846286972,,
21.955875,0,0,8.427186778,55.9976942,0.852190158,,
21.751575,0,0,8.425611575,57.72346795,0.858366057,,
22.76235,0,0,8.418710685,60.25314356,0.863174196,,
26.2062,0,0,8.417960588,62.94911006,0.867424322,,
25.133925,0,0,8.497020784,64.94681347,0.872605868,,
21.199875,0,0,8.687245315,68.57455506,0.877573438,,
21.263475,0,0,8.888421259,79.45719951,0.882717224,,
21.393975,0,0,9.079995965,88.4143528,0.887995268,,
21.602025,0,0,9.239691559,92.36561408,0.8921447,,
21.80535,0,0,9.375384058,94.47235716,0.895912334,,
22.01895,0,0,9.483322978,95.29861681,0.899419842,,
22.225425,0,0,9.582035708,95.32108969,0.902075647,,
22.473525,0,0,9.655470179,95.9898857,0.907332713,,
22.421175,0,0,9.72860461,97.10568998,0.915342082,,
22.432875,0,0,9.783886739,97.95459091,0.920301262,,
22.735425,0,0,9.820116411,100.3325369,0.925868801,,
22.765875,0,0,9.856196064,102.1786368,0.930756656,,
22.25265,0,0,9.867522525,102.2497482,0.937230442,,
22.176975,0,0,9.898951578,101.1690255,0.941346309,,
22.082025,0,0,9.949283069,99.33722421,0.947899811,,
21.96615,0,0,10.1356071,96.96272322,0.963570315,,
21.831225,0,0,10.40369167,94.28737542,0.986771893,,
21.87045,0,0,10.66570046,91.39221026,1.010598612,,
23.5257,0,0,10.93641037,88.58378361,1.03247858,,
27.651825,0,0,11.15798894,86.39978593,1.054803281,,
21.188625,0,0,11.36861611,84.54597425,1.076259495,,
21.0246,0,0,11.56116594,82.66699334,1.097526909,,
20.8911,0,0,11.79849655,80.66886498,1.120392839,,
20.737275,0,0,12.0866087,78.55703083,1.144144038,,
24.7317,0,0,12.36354441,76.37219307,1.16580164,,
26.68725,0,0,12.61032624,74.14119608,1.185155868,,
20.424525,0,0,12.81742795,71.93558489,1.203159117,,
22.642575,0,0,13.01957902,69.79969678,1.213794921,,
25.487475,0,0,13.22743082,67.96692428,1.226423628,,
20.61645001,0,0,13.49814073,66.65774488,1.238393628,,
21.079425,0,0,13.77192604,65.65844157,1.249600032,,
21.3327,0,0,14.01683262,65.08249542,1.26062183,,
